专业,专业代码,所属专业类,所属学科门类,专业相关招录人数,直接对口招录人数,专业类共享招录人数,学科门类共享招录人数,专业不限招录人数,全部可报招录人数_含不限,折算独占招录人数,专业独占指数,全部可报岗位数_含不限,折算独占岗位数,专业岗位独占指数
提格雷尼亚语,050281T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
斐济语,050291T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
斯洛伐克语,050230,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
斯洛文尼亚语,050254,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
斯瓦希里语,050225,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
格鲁吉亚语,050271T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
桑戈语,050200T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
梵语巴利语,050211,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
比斯拉马语,050287T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
毛利语,050283T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
汤加语,050284T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
泰米尔语,050239,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
爱尔兰语,050251,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
爱沙尼亚语,050255,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
瑞典语,050233,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
白俄罗斯语,050282T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
皮金语,050297T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
祖鲁语,050259,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
科摩罗语,050278T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
立陶宛语,050253,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
索马里语,050265T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
约鲁巴语,050268T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
纽埃语,050296T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
绍纳语,050280T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
罗马尼亚语,050231,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
芬兰语,050246,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
茨瓦纳语,050276T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
荷兰语,050245,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
萨摩亚语,050285T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
豪萨语,050224,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
达里语,050288T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
迪维希语,050290T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
阿塞拜疆语,050272T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
阿姆哈拉语,050263T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
阿尔巴尼亚语,050226,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
阿非利卡语,050273T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
隆迪语,050293T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
马其顿语,050274T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
马耳他语,050256,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
马达加斯加语,050270T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
产品设计,130504,设计学类,艺术学,229,7,190,16,5359,5588.0,12.761674,0.00228376,3460,8.560426,0.00247411
天文学,070401,天文学类,理学,228,0,0,39,5359,5587.0,7.208139,0.00129016,3456,4.561354,0.00131984
艺术设计学,130501,设计学类,艺术学,225,3,190,16,5359,5584.0,11.88707,0.00212877,3457,7.82868,0.00226459
包装设计,130512T,设计学类,艺术学,223,1,190,16,5359,5582.0,11.714848,0.00209868,3455,7.656458,0.00221605
工艺美术,130507,设计学类,艺术学,223,1,190,16,5359,5582.0,11.664848,0.00208973,3455,7.606458,0.00220158
艺术与科技,130509T,设计学类,艺术学,223,1,190,16,5359,5582.0,11.510303,0.00206204,3455,7.451912,0.00215685
人居设计,130514T,设计学类,艺术学,222,0,190,16,5359,5581.0,11.464848,0.00205426,3454,7.406458,0.00214431
游戏艺术设计,130515TK,设计学类,艺术学,222,0,190,16,5359,5581.0,11.464848,0.00205426,3454,7.406458,0.00214431
公共艺术,130506,设计学类,艺术学,221,0,189,16,5359,5580.0,11.435436,0.00204936,3453,7.377046,0.00213642
珠宝首饰设计与工艺,130513TK,设计学类,艺术学,220,0,188,16,5359,5579.0,11.409795,0.00204513,3452,7.351405,0.00212961
陶瓷艺术设计,130510TK,设计学类,艺术学,219,0,187,16,5359,5578.0,11.380384,0.00204023,3451,7.321993,0.0021217
广播电视编导,130305,戏剧与影视学类,艺术学,215,73,103,16,5359,5574.0,19.868605,0.00356451,3466,15.574743,0.00449358
播音与主持艺术,130309,戏剧与影视学类,艺术学,205,52,103,16,5359,5564.0,23.343064,0.00419537,3455,18.071064,0.00523041
影视摄影与制作,130311T,戏剧与影视学类,艺术学,199,58,103,16,5359,5558.0,18.154906,0.00326645,3447,12.294377,0.00356669
戏剧影视导演,130306,戏剧与影视学类,艺术学,160,3,103,16,5359,5519.0,11.002115,0.0019935,3420,7.792752,0.00227858
戏剧影视文学,130304,戏剧与影视学类,艺术学,158,1,103,16,5359,5517.0,10.819575,0.00196113,3418,7.610212,0.00222651
影视技术,130312T,戏剧与影视学类,艺术学,152,18,101,16,5359,5511.0,11.339716,0.00205765,3412,7.793814,0.00228424
表演,130301,戏剧与影视学类,艺术学,149,14,102,16,5359,5508.0,12.320366,0.00223681,3406,7.986003,0.00234469
动画,130310,戏剧与影视学类,艺术学,143,9,101,16,5359,5502.0,10.13464,0.00184199,3405,7.088738,0.00208186
音乐剧,130315TK,戏剧与影视学类,艺术学,139,4,102,16,5359,5498.0,9.203483,0.00167397,3398,5.833406,0.00171672
戏剧影视美术设计,130307,戏剧与影视学类,艺术学,137,3,101,16,5359,5496.0,8.929037,0.00162464,3399,5.883136,0.00173084
戏剧学,130302,戏剧与影视学类,艺术学,137,1,103,16,5359,5496.0,8.820089,0.00160482,3398,5.735726,0.00168797
录音艺术,130308,戏剧与影视学类,艺术学,136,1,102,16,5359,5495.0,8.774912,0.00159689,3397,5.690548,0.00167517
数字戏剧,130316T,戏剧与影视学类,艺术学,136,0,103,16,5359,5495.0,8.708978,0.00158489,3397,5.624614,0.00165576
数字演艺设计,130317T,戏剧与影视学类,艺术学,136,0,103,16,5359,5495.0,8.708978,0.00158489,3397,5.624614,0.00165576
智能影像艺术,130318T,戏剧与影视学类,艺术学,136,0,103,16,5359,5495.0,8.708978,0.00158489,3397,5.624614,0.00165576
电影学,130303,戏剧与影视学类,艺术学,135,1,101,16,5359,5494.0,8.694555,0.00158255,3397,5.648653,0.00166284
戏剧教育,130313T,戏剧与影视学类,艺术学,135,0,102,16,5359,5494.0,8.632055,0.00157118,3396,5.547691,0.0016336
曲艺,130314TK,戏剧与影视学类,艺术学,135,0,102,16,5359,5494.0,8.632055,0.00157118,3396,5.547691,0.0016336
音乐表演,130201,音乐与舞蹈学类,艺术学,108,28,48,16,5359,5467.0,13.306476,0.00243396,3373,8.04938,0.00238642
舞蹈表演,130204,音乐与舞蹈学类,艺术学,98,18,48,16,5359,5457.0,11.69628,0.00214335,3368,7.466107,0.00221678
音乐教育,130212T,音乐与舞蹈学类,艺术学,96,16,48,16,5359,5455.0,11.417276,0.00209299,3365,6.997817,0.00207959
口腔医学,100301K,口腔医学类,医学,93,15,9,16,5359,5452.0,10.196655,0.00187026,3370,7.47374,0.00221773
音乐学,130202,音乐与舞蹈学类,艺术学,92,12,48,16,5359,5451.0,9.836179,0.00180447,3364,6.281006,0.00186712
舞蹈编导,130206,音乐与舞蹈学类,艺术学,89,9,48,16,5359,5448.0,9.262947,0.00170025,3362,5.832774,0.00173491
舞蹈学,130205,音乐与舞蹈学类,艺术学,87,7,48,16,5359,5446.0,9.105371,0.00167194,3360,5.625198,0.00167417
舞蹈教育,130207T,音乐与舞蹈学类,艺术学,82,2,48,16,5359,5441.0,8.367276,0.00153782,3357,5.172817,0.0015409
流行舞蹈,130211T,音乐与舞蹈学类,艺术学,80,0,48,16,5359,5439.0,7.867276,0.00144646,3356,4.922817,0.00146687
流行音乐,130209T,音乐与舞蹈学类,艺术学,80,0,48,16,5359,5439.0,7.867276,0.00144646,3356,4.922817,0.00146687
舞蹈治疗,130214TK,音乐与舞蹈学类,艺术学,80,0,48,16,5359,5439.0,7.867276,0.00144646,3356,4.922817,0.00146687
音乐治疗,130210T,音乐与舞蹈学类,艺术学,80,0,48,16,5359,5439.0,7.867276,0.00144646,3356,4.922817,0.00146687
音乐科技,130215T,音乐与舞蹈学类,艺术学,80,0,48,16,5359,5439.0,7.867276,0.00144646,3356,4.922817,0.00146687
作曲与作曲技术理论,130203,音乐与舞蹈学类,艺术学,78,0,46,16,5359,5437.0,7.790353,0.00143284,3355,4.884356,0.00145584
冰雪舞蹈表演,130213TK,音乐与舞蹈学类,艺术学,78,0,46,16,5359,5437.0,7.790353,0.00143284,3355,4.884356,0.00145584
航空服务艺术与管理,130208TK,音乐与舞蹈学类,艺术学,77,0,45,16,5359,5436.0,7.754639,0.00142653,3354,4.848641,0.00144563
摄影,130404,美术学类,艺术学,68,13,21,16,5359,5427.0,9.173618,0.00169037,3356,6.212584,0.00185119
美术学,130401,美术学类,艺术学,60,7,21,16,5359,5419.0,8.057218,0.00148685,3348,4.954518,0.00147984
绘画,130402,美术学类,艺术学,58,5,20,16,5359,5417.0,8.064911,0.00148881,3349,5.56221,0.00166086
书法学,130405T,美术学类,艺术学,58,4,20,16,5359,5417.0,7.781577,0.00143651,3346,4.678877,0.00139835
文物保护与修复,130409T,美术学类,艺术学,57,3,20,16,5359,5416.0,7.13563,0.00131751,3348,4.63293,0.00138379
实验艺术,130407TK,美术学类,艺术学,55,0,21,16,5359,5414.0,7.007218,0.00129428,3346,4.504518,0.00134624
漫画,130410T,美术学类,艺术学,55,0,21,16,5359,5414.0,7.007218,0.00129428,3346,4.504518,0.00134624
科技艺术,130412TK,美术学类,艺术学,55,0,21,16,5359,5414.0,7.007218,0.00129428,3346,4.504518,0.00134624
美术教育,130413TK,美术学类,艺术学,55,0,21,16,5359,5414.0,7.007218,0.00129428,3346,4.504518,0.00134624
虚拟空间艺术,130414T,美术学类,艺术学,55,0,21,16,5359,5414.0,7.007218,0.00129428,3346,4.504518,0.00134624
跨媒体艺术,130408TK,美术学类,艺术学,55,0,21,16,5359,5414.0,7.007218,0.00129428,3346,4.504518,0.00134624
中国画,130406T,美术学类,艺术学,54,0,20,16,5359,5413.0,6.981577,0.00128978,3345,4.478877,0.00133898
纤维艺术,130411T,美术学类,艺术学,54,0,20,16,5359,5413.0,6.981577,0.00128978,3345,4.478877,0.00133898
雕塑,130403,美术学类,艺术学,54,0,20,16,5359,5413.0,6.981577,0.00128978,3345,4.478877,0.00133898
非物质文化遗产保护,130103T,艺术学理论类,艺术学,46,4,9,16,5359,5405.0,7.118365,0.001317,3339,4.656171,0.00139448
艺术管理,130102T,艺术学理论类,艺术学,45,3,9,16,5359,5404.0,7.107376,0.00131521,3338,4.645182,0.00139161
艺术史论,130101,艺术学理论类,艺术学,43,0,9,16,5359,5402.0,6.853407,0.00126868,3336,4.391214,0.00131631
