排名,专业,专业代码,所属专业类,所属学科门类,专业榜总分,机会规模指数,直接对口指数,独占指数得分,专业相关招录人数,直接对口招录人数,专业独占指数,全部可报招录人数_含不限,折算独占招录人数,专业类共享招录人数,学科门类共享招录人数,专业不限招录人数
113,海事管理,120408T,公共管理类,管理学,81.907,82.9559,78.4267,85.1013,5138,44,0.01079898,10497.0,113.356908,4759,34,5359
114,密码科学与技术,080918TK,计算机类,工学,81.6746,93.4446,61.8594,90.584,10262,17,0.01397134,15621.0,218.246284,9544,35,5359
115,经济工程,020108T,经济学类,经济学,81.4511,97.9738,51.7878,96.5435,14080,9,0.02258028,19439.0,438.938013,13198,19,5359
116,市场营销,120202,工商管理类,管理学,81.2872,91.0608,66.6269,86.174,7628,22,0.01122631,12987.0,145.796141,7055,34,5359
117,电气工程及其自动化,080601,电气类,工学,81.0399,73.5399,90.882,79.261,2585,124,0.00818677,7944.0,65.035678,1605,35,5359
118,自然资源登记与管理,120417T,公共管理类,管理学,80.9863,83.4327,80.8701,77.2348,5185,52,0.00781292,10544.0,82.37945,4760,34,5359
119,化学工程与工艺,081301,化工与制药类,工学,80.8343,72.5864,93.087,76.8772,2298,149,0.0077908,7657.0,59.654164,1129,35,5359
120,农学,090101,植物生产类,农学,80.7867,70.6794,96.0667,75.5662,2080,224,0.00758531,7439.0,56.427154,689,16,5359
121,测绘工程,081201,测绘类,工学,80.7479,76.2813,86.8296,79.3802,2930,82,0.00823663,8289.0,68.273448,1333,35,5359
122,经济犯罪侦查,030606TK,公安学类,法学,80.739,69.1299,95.2324,79.0226,1995,189,0.00796711,7354.0,58.590101,1472,30,5359
123,社会政策,030307T,社会学类,法学,80.5185,81.2872,70.9178,92.7294,4776,28,0.0176253,10135.0,178.632428,1407,30,5359
124,安全工程,082901,安全科学与工程类,工学,80.3873,71.1561,88.081,84.3862,2159,89,0.00978753,7518.0,73.582624,1262,35,5359
125,管理科学,120101,管理科学与工程类,管理学,80.3069,81.0489,77.056,83.671,4729,40,0.00958679,10088.0,96.711495,4329,34,5359
126,给排水科学与工程,081003,土木类,工学,80.2682,80.2145,79.857,80.9297,3846,50,0.00873454,9205.0,80.401437,3203,35,5359
127,应用化学,070302,化学类,理学,79.7676,71.7521,92.6103,74.6126,2246,144,0.00737753,7605.0,56.10611,1041,39,5359
128,广告学,050303,新闻传播学类,文学,79.7557,84.7437,68.534,87.4851,5555,25,0.01186005,10914.0,129.440581,5280,22,5359
129,水利水电工程,081101,水利类,工学,79.702,71.8713,88.2002,80.3337,2262,90,0.00859091,7621.0,65.471291,937,35,5359
130,汉语国际教育,050103,中国语言文学类,文学,79.6186,86.6508,64.6007,89.3921,6680,20,0.01331505,12039.0,160.299879,6115,22,5359
131,城市管理,120405,公共管理类,管理学,79.4994,83.3135,77.354,76.4005,5178,41,0.007742,10537.0,81.577405,4759,34,5359
132,自动化,080801,自动化类,工学,79.4458,80.4529,84.3862,70.9178,4039,64,0.00647847,9398.0,60.884687,2370,35,5359
133,环境工程,082502,环境科学与工程类,工学,79.3802,74.0167,86.5316,77.9499,2782,80,0.00791453,8141.0,64.432162,1781,35,5359
134,城市设计,082806T,建筑类,工学,79.0584,77.7116,79.857,80.0954,3246,50,0.00847354,8605.0,72.914825,2753,35,5359
135,工业软件,080919T,计算机类,工学,79.0018,93.3254,54.5292,90.3456,10231,11,0.01379713,15590.0,215.097243,9515,35,5359
136,马克思主义理论,030504T,马克思主义理论类,法学,78.826,74.2551,80.3337,84.0286,2809,51,0.00967389,8168.0,79.016305,2238,30,5359
137,保密管理,120106TK,管理科学与工程类,管理学,78.8081,80.7509,72.944,83.9094,4684,30,0.00966678,10043.0,97.083462,4328,34,5359
